SUBID,Product Name,Merchant Sale Amount,Cash back,Advertiser Name,AN, Date ,transaction_id
52ab7c63df69a,Budget.com,181.96,5.82,Budget Rent a Car,Flex_Offers,8/11/2015 5:00,441300211
5481ffd14ee4b,Save now with today's hot deals at Quill.com!,81.27,1.71,Quill,Flex_Offers,8/13/2015 5:00,441327897
5481ffd14ee4b,Save now with today's hot deals at Quill.com!,454.05,11.11,Quill,Flex_Offers,8/13/2015 5:00,441327898
5481ffd14ee4b,Save now with today's hot deals at Quill.com!,24.99,0.4,Quill,Flex_Offers,8/14/2015 5:00,441340766
5481ffd14ee4b,Save now with today's hot deals at Quill.com!,17.58,0.14,Quill,Flex_Offers,8/14/2015 5:00,441340767
