SUBID,Product Name,Merchant Sale Amount,Cash back,Advertiser Name,AN, Date ,transaction_id
5481ffd14ee4b,Save now with today's hot deals at Quill.com!,209.3,5.27,Quill,Flex_Offers,7/24/2015 5:00,441051041
5473bbbf55e02,Shop Online at BestBuy.com,2.39,0.02,"Best Buy Co, Inc.",Flex_Offers,7/26/2015 5:04,441094245
5473bbbf55e02,Shop Online at BestBuy.com,47.97,0.48,"Best Buy Co, Inc.",Flex_Offers,7/26/2015 5:04,441094246
5473bbbf55e02,Shop Online at BestBuy.com,23.97,0.24,"Best Buy Co, Inc.",Flex_Offers,7/26/2015 5:04,441094247
5473bbbf55e02,Shop Online at BestBuy.com,19.17,0.19,"Best Buy Co, Inc.",Flex_Offers,7/26/2015 5:04,441094248
5473bbbf55e02,Shop Online at BestBuy.com,7.17,0.07,"Best Buy Co, Inc.",Flex_Offers,7/26/2015 5:04,441094249
